,Longitud,Latitud,slope,PP,valor_humedad_suelo1,n.100-200cm,theta_s.100-200cm,theta_r.100-200cm,ksat.100-200cm,alpha.100-200cm,SUBTIPO,SUBTIPO_DESC
1029,-71.70148255,-39.9488137619999,69.4726223327861,1.5721815014258034,0.38531494140625,0.0280000008642673,0.0359999984502792,0.0320000015199184,0.3319999873638153,0.3089999854564667,3.0,Deslizamiento
1030,-71.6983864969999,-39.938832858000005,63.99773021802801,1.5721815014258034,0.38531494140625,0.0289999991655349,0.0390000008046627,0.0350000001490116,0.3549999892711639,0.3269999921321869,3.0,Deslizamiento
1031,-71.699337048,-39.925505706,66.17888537042789,1.5721815014258034,0.38531494140625,0.0289999991655349,0.0379999987781047,0.0340000018477439,0.3459999859333038,0.3199999928474426,3.0,Deslizamiento
1032,-71.650801466,-39.9066190139999,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0299999993294477,0.0410000011324882,0.0370000004768371,0.3740000128746033,0.3370000123977661,3.0,Deslizamiento
1033,-71.633708542,-39.907134863,74.24123185806134,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0289999991655349,0.0280000008642673,0.3039999902248382,0.2689999938011169,3.0,Deslizamiento
1034,-71.63886174399991,-39.954806189,55.25344217948182,0.5987448557280004,0.3729705810546875,0.0280000008642673,0.0340000018477439,0.0309999994933605,0.324999988079071,0.3009999990463257,3.0,Deslizamiento
1035,-71.67822068699999,-39.909961171,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0280000008642673,0.0350000001490116,0.0320000015199184,0.3289999961853027,0.3059999942779541,3.0,Deslizamiento
1036,-71.656948396,-39.914036132,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0280000008642673,0.0350000001490116,0.0320000015199184,0.3310000002384186,0.3079999983310699,3.0,Deslizamiento
1037,-71.65421107899991,-39.913432256,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.032999999821186,0.0299999993294477,0.3179999887943268,0.2910000085830688,3.0,Deslizamiento
1038,-71.651791809,-39.912884095,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3100000023841858,0.2770000100135803,3.0,Deslizamiento
1039,-71.65005022299991,-39.912617656,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3089999854564667,0.2759999930858612,3.0,Deslizamiento
1040,-71.648823255,-39.912348439,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3059999942779541,0.2709999978542328,3.0,Deslizamiento
1041,-71.647070734,-39.90965568799989,59.29367408911541,0.5987448557280004,0.3729705810546875,0.0289999991655349,0.0370000004768371,0.0340000018477439,0.3440000116825104,0.3199999928474426,3.0,Deslizamiento
1042,-71.64347732399992,-39.908781569,70.26129972981511,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.032999999821186,0.0299999993294477,0.3179999887943268,0.2910000085830688,3.0,Deslizamiento
1043,-71.6289710739999,-39.9049903709999,70.26129972981511,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3109999895095825,0.2800000011920929,3.0,Deslizamiento
1044,-71.61572369899991,-39.900364291,70.26129972981511,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3059999942779541,0.2730000019073486,3.0,Deslizamiento
1045,-71.598864562,-39.903777705,60.95916093838778,0.5987448557280004,0.3729705810546875,0.025000000372529,0.0270000007003545,0.0260000005364418,0.2899999916553497,0.248999997973442,3.0,Deslizamiento
1046,-71.59789109399999,-39.9042068809999,60.95916093838778,0.5987448557280004,0.3729705810546875,0.0280000008642673,0.0350000001490116,0.0320000015199184,0.328000009059906,0.3039999902248382,3.0,Deslizamiento
1047,-71.597757782,-39.9048727059999,60.95916093838778,0.5987448557280004,0.3729705810546875,0.0299999993294477,0.0410000011324882,0.0370000004768371,0.3790000081062317,0.3310000002384186,3.0,Deslizamiento
1048,-71.598378133,-39.9061917659999,60.95916093838778,0.5987448557280004,0.3729705810546875,0.0289999991655349,0.0370000004768371,0.0340000018477439,0.3389999866485596,0.3120000064373016,3.0,Deslizamiento
1049,-71.601466428,-39.9076573199999,60.95916093838778,0.5987448557280004,0.3729705810546875,0.025000000372529,0.0270000007003545,0.0260000005364418,0.2899999916553497,0.25,3.0,Deslizamiento
1050,-71.6020444449999,-39.908228101,60.95916093838778,0.5987448557280004,0.3729705810546875,0.025000000372529,0.0289999991655349,0.0270000007003545,0.2989999949932098,0.2630000114440918,3.0,Deslizamiento
1051,-71.60389017899999,-39.9103043339999,56.934254820177536,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3009999990463257,0.2660000026226043,3.0,Deslizamiento
1052,-71.604505656,-39.9108794219999,55.338946217647496,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3070000112056732,0.2770000100135803,3.0,Deslizamiento
1053,-71.6050146219999,-39.913525003,64.21406483799875,0.5987448557280004,0.3729705810546875,0.0280000008642673,0.0359999984502792,0.032999999821186,0.3339999914169311,0.3089999854564667,3.0,Deslizamiento
1054,-71.60612202399992,-39.915315526,64.21406483799875,0.5987448557280004,0.3729705810546875,0.025000000372529,0.0270000007003545,0.0260000005364418,0.2930000126361847,0.2529999911785126,3.0,Deslizamiento
1055,-71.60868432099991,-39.9156551899999,64.21406483799875,0.5987448557280004,0.3729705810546875,0.025000000372529,0.0270000007003545,0.0260000005364418,0.2930000126361847,0.2529999911785126,3.0,Deslizamiento
1056,-71.620556745,-39.919221536,74.24123185806134,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3089999854564667,0.277999997138977,3.0,Deslizamiento
1057,-71.64934541799991,-39.951407106,52.96808061983711,0.5987448557280004,0.3729705810546875,0.0299999993294477,0.0390000008046627,0.0359999984502792,0.3600000143051147,0.3289999961853027,3.0,Deslizamiento
1058,-71.64491424499991,-39.949965084,55.25344217948182,0.5987448557280004,0.3729705810546875,0.0289999991655349,0.0379999987781047,0.0340000018477439,0.3470000028610229,0.3210000097751617,3.0,Deslizamiento
1059,-71.64316903799991,-39.9505462179999,55.25344217948182,0.5987448557280004,0.3729705810546875,0.0280000008642673,0.0340000018477439,0.0320000015199184,0.3260000050067901,0.3019999861717224,3.0,Deslizamiento
1060,-71.6405975019999,-39.950290724,55.25344217948182,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0320000015199184,0.0299999993294477,0.3149999976158142,0.2879999876022339,3.0,Deslizamiento
1061,-71.638824578,-39.95061278799989,55.25344217948182,0.5987448557280004,0.3729705810546875,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3089999854564667,0.277999997138977,3.0,Deslizamiento
1062,-71.63220071099991,-39.949904128,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.0340000018477439,0.0309999994933605,0.3199999928474426,0.2949999868869781,3.0,Deslizamiento
1063,-71.632902316,-39.949581907,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0280000008642673,0.0340000018477439,0.0309999994933605,0.3219999969005585,0.2980000078678131,3.0,Deslizamiento
1064,-71.63259809,-39.948363706,56.3183236829106,0.5987448557280004,0.3729705810546875,0.0270000007003545,0.032999999821186,0.0299999993294477,0.3149999976158142,0.2879999876022339,3.0,Deslizamiento
